Ano,Mes,Temperatura_celsius_prom_nacional,Lluvia_mm_prom_nacional,Precio_diesel_automotriz_mxplitro_prom_nacional,Indice_severidad_ponderada_sequia_prom_nacional,Precio_maizblanco_mxpkilo_prom_nacional,INPC_prom_nacional,Produccion_maizblanco_kg_prom_nacional,Precio_prom_CBOT_mxpkilo_maiz_internacional,Tipo_cambio_mxpdolar_prom_nacional,Demanda_maizblanco_kg_prom_nacional,Costo_transporte_maiz_mxpkilo_prom_nac
2022,5,27.1,65.49,23.33,57.81,8.88,122.431,1930800000,6.61,19.98,2220000000,1.38
2022,6,26.7,175.86,23.47,54.07,8.46,123.411,4660400000,6.36,19.96,2223000000,1.39
2022,7,25.4,251.54,23.54,40.83,9.4,124.321,2610900000,5.18,20.43,2221000000,1.4
2022,8,25.4,248.73,23.6,41.75,9.15,125.112,800500000,5.19,20.12,2224000000,1.41
2022,9,25.1,239.5,23.64,36.3,8.98,125.821,690200000,5.64,20.1,2228000000,1.42
2022,10,23.1,115.17,23.75,28.71,8.52,126.541,1320100000,5.74,20.02,2226000000,1.43
2022,11,20.6,37.75,23.82,31.88,8.32,127.421,3720700000,5.43,19.57,2230000000,1.45
2022,12,17.4,29.13,23.8,43.64,8.2,127.891,4330400000,5.36,19.69,2233000000,1.46
2023,1,17.3,20.97,23.82,230.92,8.95,128.441,3790400000,5.39,18.97,2236000000,1.47
2023,2,18.9,14.52,23.85,227.15,9.25,129.112,1150900000,5.29,18.62,2238000000,1.48
2023,3,22.8,14.93,23.9,231.45,9.65,129.821,580300000,4.86,18.31,2241000000,1.49
2023,4,25.2,27.11,23.88,375.19,10.2,130.421,550100000,4.87,18.11,2243000000,1.5
2023,5,27.3,60.8,23.86,375.24,10.65,130.821,2070600000,4.43,17.74,2246000000,1.51
2023,6,27,172.25,24.02,373.77,10.15,131.212,4990200000,4.25,17.23,2249000000,1.52
2023,7,25.8,243.19,24.08,309.66,10.55,131.912,2800400000,3.8,16.88,2247000000,1.53
2023,8,25.7,243.79,24.14,229.5,10.32,132.421,860900000,3.45,16.94,2250000000,1.54
2023,9,25.7,235.48,24.23,172.45,10.18,132.912,740700000,3.4,17.21,2254000000,1.55
2023,10,23.6,120.49,24.26,173.49,9.75,133.421,1420300000,3.58,18.03,2252000000,1.56
2023,11,20.7,33.26,24.31,170.69,9.5,134.112,3990100000,3.39,17.43,2256000000,1.57
2023,12,17.7,29.5,24.35,235.04,9.35,134.821,4630800000,3.36,17.15,2259000000,1.58
2024,1,16.9,20.41,24.41,233.32,9.15,135.421,3130200000,3.27,17.07,2262000000,1.59
2024,2,18.8,14.45,24.51,225.14,9.22,135.821,950400000,3.14,17.08,2264000000,1.6
2024,3,22.7,18.83,24.65,233.5,9.3,136.212,480100000,3.05,16.74,2267000000,1.61
2024,4,25.2,34.47,24.84,373.55,9.45,136.812,450600000,3.07,16.7,2269000000,1.62
2024,5,27.4,60.07,24.98,377.76,9.52,137.112,1710300000,3.17,16.71,2272000000,1.62
2024,6,26.9,168.71,25.13,373.61,9.38,137.421,4120900000,3.35,18.12,2275000000,1.64
2024,7,26,256.4,25.21,308.14,9.58,137.912,2310400000,3.07,17.95,2273000000,1.65
2024,8,25.9,246.75,25.32,228.99,9.5,138.212,710200000,3.08,19.01,2276000000,1.66
2024,9,25.4,207.94,25.41,170.73,9.44,138.612,610100000,3.37,19.45,2280000000,1.67
2024,10,23.5,110.58,25.52,172.18,9.28,139.112,1170500000,3.46,19.67,2278000000,1.68
2024,11,21,34.86,25.61,170.62,9.22,139.612,3300200000,3.62,20.15,2282000000,1.69
2024,12,17.8,29.98,25.71,227.65,9.18,140.112,3830400000,3.6,20.05,2285000000,1.7
2025,1,17.3,19.1,25.92,162,9.3,138.343,3360500000,3.74,20.35,2288000000,1.71
2025,2,18.9,13.88,25.97,155.14,9.38,138.726,1020200000,3.67,20.15,2290000000,1.72
2025,3,22.9,16.92,26.03,157.76,9.48,139.161,510700000,3.62,20.28,2293000000,1.73
2025,4,25.1,29.56,26.06,195.84,9.65,139.62,480300000,3.6,19.95,2295000000,1.74
2025,5,27.1,61.62,26.11,198.19,9.72,139.421,1830600000,3.61,19.72,2298000000,1.74
2025,6,27.1,165.84,26.14,201.08,9.56,139.812,4420100000,3.6,19.85,2301000000,1.75
2025,7,25.9,261.16,26.22,159.54,9.78,140.212,2480900000,3.4,19.6,2299000000,1.76
2025,8,25.8,227.11,26.31,160.15,9.68,140.612,760400000,3.37,19.52,2302000000,1.77
2025,9,25.5,217.25,26.37,118.43,9.61,141.112,650800000,3.38,19.44,2306000000,1.78
2025,10,23.5,126.68,26.54,118.96,9.44,141.512,1250200000,3.43,19.25,2304000000,1.79
2025,11,21,36,26.69,119.46,9.37,142.112,3540700000,3.46,19.38,2308000000,1.8
2025,12,17.8,27.04,26.85,158.4,9.32,143.042,4110300000,3.47,19.3,2311000000,1.82
2026,1,17,19.98,27.22,144.37,9.4,143.588,3420100000,3.57,19.45,2314000000,1.83
2026,2,18.8,13.77,27.29,154.18,9.48,144.307,1040300000,3.56,19.38,2316000000,1.84
2026,3,22.7,17.62,28.36,166.18,9.58,145.544,520900000,3.53,19.22,2319000000,1.86
2026,4,25.1,28.88,27.45,222.01,9.75,145.831,490500000,3.51,18.98,2321000000,1.86
2026,5,27.3,60.63,27.26,236.82,9.82,145.62,1870200000,3.52,18.82,2324000000,1.87
